JobID                   JobName      State ExitCode    Elapsed               Start                 End               NodeList 
------------ ------------------ ---------- -------- ---------- ------------------- ------------------- ---------------------- 
15371                    rl_gen  COMPLETED      0:0   23:04:47 2026-08-11T15:34:27 2026-08-12T14:39:14 a100-147-100,a100-208+ 
15371.batch               batch  COMPLETED      0:0   23:04:47 2026-08-11T15:34:27 2026-08-12T14:39:14           a100-147-100 
15371.extern             extern  COMPLETED      0:0   23:04:52 2026-08-11T15:34:27 2026-08-12T14:39:19 a100-147-100,a100-208+ 
15371.0                    bash CANCELLED+      0:9   23:04:50 2026-08-11T15:34:29 2026-08-12T14:39:19           a100-147-100 
15371.1                    bash  COMPLETED      0:0   23:02:35 2026-08-11T15:36:37 2026-08-12T14:39:12           a100-208-085 
15371.2                    bash  COMPLETED      0:0   00:00:02 2026-08-11T16:10:19 2026-08-11T16:10:21           a100-147-100 
15371.3                 python3  COMPLETED      0:0   00:00:01 2026-08-11T21:56:41 2026-08-11T21:56:42           a100-208-085 
15371.4                 python3  COMPLETED      0:0   00:00:01 2026-08-11T21:57:20 2026-08-11T21:57:21           a100-208-085 
18571                    rl_gen  COMPLETED      0:0   21:32:04 2026-08-18T17:55:07 2026-08-19T15:27:11 a100-224-144,a100-243+ 
18571.batch               batch  COMPLETED      0:0   21:32:04 2026-08-18T17:55:07 2026-08-19T15:27:11           a100-224-144 
18571.extern             extern  COMPLETED      0:0   21:32:10 2026-08-18T17:55:07 2026-08-19T15:27:17 a100-224-144,a100-243+ 
18571.0                    bash CANCELLED+      0:9   21:31:59 2026-08-18T17:55:17 2026-08-19T15:27:16           a100-224-144 
18571.1                    bash  COMPLETED      0:0   21:29:46 2026-08-18T17:57:23 2026-08-19T15:27:09           a100-243-067 
