user_id	post_id	target_idx
user1001	c5403	2
user1003	c5323	3
user1004	c5407	1
user1014	c5435	3
user1020	c5478	1
user1021	c5457	1
user1021	c5461	1
user1025	c5491	1
user1028	c5538	1
user1030	c5510	1
user1033	c5601	1
user1035	c5548	3
user1042	c5559	1
user1049	c5722	2
user1071	c5654	1
user1081	c5831	1
user1085	c5821	1
user1094	c3855	2
user1106	c5912	5
user1107	c5904	3
user1108	c5973	1
user1109	c5957	1
user1117	c5990	1
user1117	c6001	2
user1118	c5993	2
user112	c654	4
user1121	c6041	2
user1121	c6049	1
user1123	c6046	1
user1123	c6046	2
user1127	c6098	3
user1127	c6098	4
user1127	c6098	8
user1128	c6070	1
user113	c625	1
user1144	c6157	3
user1144	c6157	5
user115	c627	1
user115	c627	3
user115	c735	1
user1153	c6216	1
user1157	c6233	3
user1159	c6222	1
user1160	c6250	2
user1160	c6251	2
user1161	c6262	1
user1173	c6319	1
user1173	c6319	4
user1176	c6328	1
user1177	c6333	2
user1183	c6758	6
user1185	c6364	3
user119	c705	3
user1192	c6405	1
user1193	c6523	1
user1199	c6418	1
user1200	c6386	3
user1202	c6606	1
user1210	c6487	2
user1219	c6452	1
user1219	c6781	1
user1219	c6781	2
user1222	c6642	1
user1228	c6567	4
user1228	c6699	5
user123	c783	2
user1230	c6529	1
user1239	c6685	2
user124	c602	2
user1247	c6607	3
user1247	c6921	2
user125	c607	2
user126	c599	2
user1268	c6577	2
user1273	c6845	2
user1275	c6827	1
user128	c675	1
user1280	c6899	3
user1289	c6996	1
user1289	c7029	4
user129	c640	2
user1298	c7011	1
user1298	c7011	4
user1298	c7031	4
user13	c70	1
user1304	c7097	2
user1304	c7097	6
user1321	c7163	1
user1329	c7194	1
user1330	c7365	3
user1330	c7765	1
user1331	c7184	2
user1334	c7219	1
user1337	c7254	2
user1337	c7343	1
user1341	c7225	1
user1341	c7279	1
user135	c697	1
user1356	c7278	2
user1356	c7317	1
user1366	c7290	1
user1366	c7752	1
user1366	c7757	3
user1379	c7538	1
user1381	c7670	3
user1384	c7366	1
user1384	c7366	3
user1387	c7806	1
user1387	c7807	2
user1399	c7398	3
user140	c708	1
user140	c708	2
user140	c806	5
user1406	c7540	1
user1410	c7696	2
user1412	c7572	1
user1412	c7572	2
user1419	c7719	1
user1422	c7403	2
user1422	c7417	2
user1422	c7452	2
user1425	c7673	1
user1431	c7782	3
user1436	c7466	1
user1439	c7493	1
user1439	c7499	1
user1442	c7960	1
user145	c878	3
user145	c883	1
user1451	c7659	1
user1452	c7624	1
user1452	c7624	2
user1465	c7639	2
user1466	c7701	3
user1476	c7854	1
user1483	c7894	5
user1486	c7895	2
user149	c745	1
user1491	c7944	1
user1493	c7971	4
user1497	c7987	2
user156	c797	1
user157	c796	1
user164	c897	3
user164	c897	4
user17	c77	2
user174	c945	2
user175	c960	3
user181	c1015	2
user186	c977	1
user187	c1180	1
user187	c1180	4
user188	c1058	1
user190	c1035	2
user193	c1161	1
user194	c1051	1
user194	c988	1
user194	c988	3
user197	c1016	1
user197	c1016	4
user198	c1003	1
user200	c1116	1
user219	c1121	4
user222	c1166	1
user226	c1201	2
user226	c1201	3
user226	c1201	5
user226	c1201	8
user228	c1214	1
user230	c1255	1
user233	c1310	1
user233	c1310	2
user243	c1456	1
user243	c1456	2
user243	c1483	2
user246	c1276	2
user246	c1276	3
user246	c1340	1
user255	c1299	2
user264	c1312	4
user264	c1344	2
user265	c1398	2
user268	c1404	1
user270	c1541	2
user277	c1354	2
user277	c1389	1
user279	c1536	2
user282	c1442	3
user282	c1573	2
user285	c1628	1
user288	c1407	1
user288	c1450	3
user288	c1450	5
user288	c1482	6
user292	c1475	1
user292	c1524	2
user296	c1596	2
user296	c1617	1
user32	c178	6
user327	c1719	5
user334	c1789	2
user338	c1833	2
user339	c1801	2
user348	c1842	1
user353	c1997	2
user353	c1997	5
user360	c1994	5
user363	c1912	1
user367	c2025	1
user367	c2025	2
user372	c1915	1
user373	c1945	1
user373	c1945	3
user373	c1996	1
user373	c2026	5
user373	c2026	6
user373	c2050	3
user38	c145	4
user38	c212	2
user383	c2054	4
user389	c1981	3
user398	c2129	1
user399	c2149	3
user404	c2190	1
user404	c2190	2
user408	c2179	1
user413	c2194	5
user421	c2255	1
user424	c2269	2
user424	c2269	3
user433	c2328	2
user44	c319	5
user444	c2381	2
user448	c2364	1
user45	c184	1
user45	c247	3
user463	c2439	6
user470	c2465	3
user475	c2541	4
user479	c2563	1
user487	c2597	3
user497	c2685	2
user497	c2685	3
user497	c2740	2
user50	c273	1
user50	c296	1
user501	c2673	3
user501	c2678	1
user501	c2678	4
user505	c2719	1
user51	c217	2
user510	c2727	2
user515	c7050	1
user516	c2818	1
user518	c2736	3
user523	c2783	2
user523	c2812	2
user527	c2852	2
user53	c292	4
user53	c301	1
user532	c2817	1
user532	c2854	4
user534	c2808	1
user534	c2833	2
user534	c2872	2
user534	c2882	1
user537	c2885	5
user542	c2865	2
user542	c2893	1
user550	c2966	2
user557	c3042	2
user562	c3079	2
user562	c3092	2
user569	c3082	1
user574	c3160	1
user576	c3152	1
user576	c3152	2
user576	c3161	1
user581	c3078	2
user59	c223	3
user596	c3207	2
user604	c3210	2
user605	c3279	3
user608	c3177	1
user608	c3185	1
user609	c3183	1
user609	c3308	5
user609	c3308	7
user620	c3242	1
user620	c3435	1
user621	c3208	1
user621	c3252	1
user622	c3257	2
user623	c3219	2
user623	c3325	3
user623	c3366	1
user627	c3246	2
user627	c3412	1
user627	c3412	4
user630	c3478	1
user636	c3470	1
user641	c3402	1
user646	c3450	1
user653	c3519	1
user654	c3533	8
user661	c3547	1
user661	c3547	2
user664	c3566	2
user664	c3709	1
user667	c3562	3
user668	c3647	2
user669	c3666	1
user67	c346	1
user672	c3767	2
user674	c3782	1
user678	c3671	2
user679	c3811	2
user68	c417	2
user68	c437	1
user681	c3712	1
user687	c3621	1
user688	c3750	3
user694	c3721	1
user708	c3832	1
user714	c3944	2
user719	c3925	2
user724	c3922	1
user729	c4003	1
user730	c3962	1
user746	c4039	1
user75	c357	2
user760	c4163	1
user772	c4244	1
user776	c4266	1
user776	c4266	4
user778	c4235	3
user787	c4302	1
user792	c4343	1
user799	c4442	2
user819	c4506	2
user819	c4524	1
user822	c4369	1
user826	c4560	3
user840	c4582	2
user849	c4687	2
user852	c4578	1
user853	c4598	2
user853	c4624	1
user854	c4736	2
user857	c4606	2
user857	c4646	2
user864	c4612	1
user864	c4713	2
user867	c4648	1
user89	c443	1
user89	c462	2
user894	c4821	2
user9	c50	3
user902	c4797	1
user908	c4881	2
user908	c4881	3
user91	c433	3
user910	c4926	1
user916	c4965	1
user919	c5050	1
user919	c5120	2
user927	c4979	1
user931	c4993	4
user936	c5140	2
user940	c5093	1
user942	c5394	1
user95	c450	3
user95	c455	1
user95	c499	2
user960	c5029	1
user960	c5210	2
user971	c6352	3
user976	c5147	1
user976	c5147	2
user979	c5242	2
user979	c5592	1
user984	c5216	1
user989	c5422	1
user992	c5397	1
