checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-full5ep-step0,0,880,880,0.5897727272727272,0.4102272727272727,0.4084413445176006,0.6056818181818182,0.5022727272727273,0.1034090909090909,0
9b-full5ep-step32,32,880,880,0.3340909090909091,0.6659090909090909,0.6620220893150672,0.6261363636363636,0.48977272727272725,0.13636363636363635,0
9b-full5ep-step64,64,880,880,0.2943181818181818,0.7056818181818182,0.7041979915687038,0.5852272727272727,0.5,0.08522727272727271,0
9b-full5ep-step96,96,880,880,0.23068181818181818,0.7693181818181818,0.7677857596731738,0.5590909090909091,0.48977272727272725,0.06931818181818183,0
9b-full5ep-step128,128,880,880,0.2818181818181818,0.7181818181818181,0.7167726542206642,0.5909090909090909,0.4636363636363636,0.12727272727272732,0
9b-full5ep-step160,160,880,880,0.21477272727272728,0.7852272727272728,0.7852142153783809,0.575,0.5034090909090909,0.07159090909090904,0
9b-full5ep-step192,192,880,880,0.2943181818181818,0.7056818181818182,0.7027087995244939,0.5829545454545455,0.5113636363636364,0.07159090909090915,0
9b-full5ep-step224,224,880,880,0.34204545454545454,0.6579545454545455,0.6538807331739622,0.5818181818181818,0.48068181818181815,0.10113636363636364,0
9b-full5ep-step256,256,880,880,0.34204545454545454,0.6579545454545455,0.6519039087969013,0.5943181818181819,0.5204545454545455,0.07386363636363635,0
9b-full5ep-step288,288,880,880,0.3068181818181818,0.6931818181818182,0.6933578157765754,0.6022727272727273,0.4954545454545455,0.10681818181818181,0
9b-full5ep-step320,320,880,880,0.18636363636363637,0.8136363636363636,0.8133535669513167,0.5727272727272728,0.48863636363636365,0.0840909090909091,0
