checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-full5ep-step0,0,880,880,0.8022727272727272,0.19772727272727272,0.19733728775050038,0.5113636363636364,0.5022727272727273,0.009090909090909038,0
9b-full5ep-step32,32,880,880,0.7761363636363636,0.22386363636363638,0.22170958453076517,0.5318181818181819,0.48977272727272725,0.04204545454545461,0
9b-full5ep-step64,64,880,880,0.6227272727272727,0.37727272727272726,0.37757117071281654,0.49772727272727274,0.5,-0.0022727272727272596,0
9b-full5ep-step96,96,880,880,0.5102272727272728,0.48977272727272725,0.4890683861548256,0.49772727272727274,0.48977272727272725,0.007954545454545492,0
9b-full5ep-step128,128,880,880,0.42159090909090907,0.5784090909090909,0.5820611835311083,0.4943181818181818,0.4636363636363636,0.0306818181818182,0
9b-full5ep-step160,160,880,880,0.4,0.6,0.5984853995506589,0.49886363636363634,0.5034090909090909,-0.004545454545454575,0
9b-full5ep-step192,192,880,880,0.48295454545454547,0.5170454545454546,0.513291113656101,0.4943181818181818,0.5113636363636364,-0.01704545454545453,0
9b-full5ep-step224,224,880,880,0.5056818181818182,0.4943181818181818,0.49695205510426277,0.44545454545454544,0.48068181818181815,-0.03522727272727272,0
9b-full5ep-step256,256,880,880,0.49886363636363634,0.5011363636363636,0.5035114841629514,0.4647727272727273,0.5204545454545455,-0.05568181818181822,0
9b-full5ep-step288,288,880,880,0.37386363636363634,0.6261363636363636,0.6221521768947409,0.49886363636363634,0.4954545454545455,0.0034090909090908617,0
9b-full5ep-step320,320,880,880,0.2034090909090909,0.7965909090909091,0.7986489324035053,0.4943181818181818,0.48863636363636365,0.005681818181818177,0
