checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-full5ep-step0,0,880,880,0.7920454545454545,0.20795454545454545,0.22815928041573016,0.4965909090909091,0.5022727272727273,-0.005681818181818232,0
9b-full5ep-step32,32,880,880,0.7670454545454546,0.23295454545454544,0.25205796430371097,0.525,0.48977272727272725,0.035227272727272774,0
9b-full5ep-step64,64,880,880,0.6397727272727273,0.36022727272727273,0.37517709641222624,0.49886363636363634,0.5,-0.0011363636363636576,0
9b-full5ep-step96,96,880,880,0.5568181818181818,0.4431818181818182,0.442159249005911,0.46704545454545454,0.48977272727272725,-0.022727272727272707,0
9b-full5ep-step128,128,880,880,0.5329545454545455,0.46704545454545454,0.459058995200523,0.5011363636363636,0.4636363636363636,0.03749999999999998,0
9b-full5ep-step160,160,880,880,0.5397727272727273,0.4602272727272727,0.47127597697003853,0.49772727272727274,0.5034090909090909,-0.005681818181818177,0
9b-full5ep-step192,192,880,880,0.6215909090909091,0.3784090909090909,0.3817378259989962,0.4625,0.5113636363636364,-0.04886363636363633,0
9b-full5ep-step224,224,880,880,0.6727272727272727,0.32727272727272727,0.3376246450118172,0.4625,0.48068181818181815,-0.018181818181818132,0
9b-full5ep-step256,256,880,880,0.6318181818181818,0.36818181818181817,0.38214701294810643,0.4772727272727273,0.5204545454545455,-0.04318181818181821,0
9b-full5ep-step288,288,880,880,0.475,0.525,0.5128415916931506,0.4909090909090909,0.4954545454545455,-0.004545454545454575,0
9b-full5ep-step320,320,880,880,0.35,0.65,0.6547611936892996,0.525,0.48863636363636365,0.036363636363636376,0
