checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-full5ep-step0,0,880,880,0.5397727272727273,0.4602272727272727,0.4656014757228506,0.5761363636363637,0.5022727272727273,0.07386363636363635,0
9b-full5ep-step32,32,880,880,0.26931818181818185,0.7306818181818182,0.6805098911829724,0.5772727272727273,0.48977272727272725,0.08750000000000002,0
9b-full5ep-step64,64,880,880,0.18522727272727274,0.8147727272727273,0.7556344138966811,0.5170454545454546,0.5,0.017045454545454586,0
9b-full5ep-step96,96,880,880,0.15681818181818183,0.8431818181818181,0.7805577181023569,0.5261363636363636,0.48977272727272725,0.036363636363636376,0
9b-full5ep-step128,128,880,880,0.15568181818181817,0.8443181818181819,0.7742164239496102,0.571590909090909,0.4636363636363636,0.10795454545454541,0
9b-full5ep-step160,160,880,880,0.13295454545454546,0.8670454545454546,0.7960086747248427,0.5386363636363637,0.5034090909090909,0.035227272727272774,0
9b-full5ep-step192,192,880,880,0.175,0.825,0.7596617306107047,0.5204545454545455,0.5113636363636364,0.00909090909090915,0
9b-full5ep-step224,224,880,880,0.2636363636363636,0.7363636363636363,0.6915480414914056,0.571590909090909,0.48068181818181815,0.09090909090909088,0
9b-full5ep-step256,256,880,880,0.22272727272727272,0.7772727272727272,0.720832618018501,0.5522727272727272,0.5204545454545455,0.031818181818181746,0
9b-full5ep-step288,288,880,880,0.2409090909090909,0.759090909090909,0.7079451323389957,0.5704545454545454,0.4954545454545455,0.07499999999999996,0
9b-full5ep-step320,320,880,880,0.15795454545454546,0.8420454545454545,0.7710466926579479,0.5443181818181818,0.48863636363636365,0.055681818181818166,0
