checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-train10pct-step0,0,440,440,0.65,0.35,0.35314902704814105,0.6045454545454545,0.5,0.1045454545454545,0
9b-train10pct-step12,12,440,440,0.5545454545454546,0.44545454545454544,0.4430808387385389,0.6431818181818182,0.48863636363636365,0.15454545454545454,0
9b-train10pct-step24,24,440,440,0.49318181818181817,0.5068181818181818,0.5082466736786725,0.634090909090909,0.4863636363636364,0.14772727272727265,0
9b-train10pct-step36,36,440,440,0.325,0.675,0.6664845842528335,0.6090909090909091,0.5159090909090909,0.09318181818181825,0
9b-train10pct-step48,48,440,440,0.29545454545454547,0.7045454545454546,0.7039530641986511,0.6295454545454545,0.47954545454545455,0.14999999999999997,0
9b-train10pct-step60,60,440,440,0.25681818181818183,0.7431818181818182,0.7418357894213614,0.5886363636363636,0.5227272727272727,0.06590909090909092,0
9b-train10pct-step72,72,440,440,0.34545454545454546,0.6545454545454545,0.6590003791077959,0.6068181818181818,0.5022727272727273,0.1045454545454545,0
9b-train10pct-step84,84,440,440,0.2681818181818182,0.7318181818181818,0.721195145478089,0.6136363636363636,0.5272727272727272,0.08636363636363642,0
9b-train10pct-step96,96,440,440,0.24545454545454545,0.7545454545454545,0.7476659546696836,0.6022727272727273,0.525,0.07727272727272727,0
9b-train10pct-step108,108,440,440,0.33181818181818185,0.6681818181818182,0.6592469334437421,0.6,0.5272727272727272,0.07272727272727275,0
9b-train10pct-step120,120,440,440,0.30454545454545456,0.6954545454545454,0.6953958755746878,0.5840909090909091,0.47954545454545455,0.10454545454545455,0
