checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-train10pct-step0,0,440,440,0.8318181818181818,0.16818181818181818,0.16603512978067847,0.5272727272727272,0.5,0.027272727272727226,0
9b-train10pct-step12,12,440,440,0.8181818181818182,0.18181818181818182,0.1849300031115877,0.49772727272727274,0.48863636363636365,0.009090909090909094,0
9b-train10pct-step24,24,440,440,0.8409090909090909,0.1590909090909091,0.16042375531199024,0.5409090909090909,0.4863636363636364,0.05454545454545451,0
9b-train10pct-step36,36,440,440,0.7954545454545454,0.20454545454545456,0.20481581947781174,0.5159090909090909,0.5159090909090909,0.0,0
9b-train10pct-step48,48,440,440,0.6659090909090909,0.3340909090909091,0.33602819391393046,0.4818181818181818,0.47954545454545455,0.0022727272727272596,0
9b-train10pct-step60,60,440,440,0.5727272727272728,0.42727272727272725,0.4243417782774326,0.5181818181818182,0.5227272727272727,-0.004545454545454519,0
9b-train10pct-step72,72,440,440,0.7022727272727273,0.29772727272727273,0.2980138124678824,0.5454545454545454,0.5022727272727273,0.0431818181818181,0
9b-train10pct-step84,84,440,440,0.5613636363636364,0.43863636363636366,0.43373314263668156,0.5022727272727273,0.5272727272727272,-0.02499999999999991,0
9b-train10pct-step96,96,440,440,0.5772727272727273,0.42272727272727273,0.42296969188464806,0.48863636363636365,0.525,-0.036363636363636376,0
9b-train10pct-step108,108,440,440,0.6113636363636363,0.3886363636363636,0.3871268123527587,0.48409090909090907,0.5272727272727272,-0.043181818181818155,0
9b-train10pct-step120,120,440,440,0.5318181818181819,0.4681818181818182,0.47320869830406254,0.48863636363636365,0.47954545454545455,0.009090909090909094,0
