checkpoint,step,n_scored,n_unique_pairs,judge_accuracy,gen_win_rate,p_gen_mean,a_rate,expected_a_rate,a_rate_excess,n_hard_fail
9b-train10pct-step0,0,440,440,0.5409090909090909,0.4590909090909091,0.4643849913075936,0.5863636363636363,0.5,0.08636363636363631,0
9b-train10pct-step12,12,440,440,0.47954545454545455,0.5204545454545455,0.5199029277492263,0.5818181818181818,0.48863636363636365,0.09318181818181814,0
9b-train10pct-step24,24,440,440,0.3659090909090909,0.634090909090909,0.5909825326047945,0.5659090909090909,0.4863636363636364,0.07954545454545453,0
9b-train10pct-step36,36,440,440,0.2863636363636364,0.7136363636363636,0.6868545665203925,0.5477272727272727,0.5159090909090909,0.03181818181818186,0
9b-train10pct-step48,48,440,440,0.19545454545454546,0.8045454545454546,0.7501180229142392,0.575,0.47954545454545455,0.0954545454545454,0
9b-train10pct-step60,60,440,440,0.17954545454545454,0.8204545454545454,0.7715794991352692,0.5386363636363637,0.5227272727272727,0.015909090909090984,0
9b-train10pct-step72,72,440,440,0.225,0.775,0.7281911673639954,0.5409090909090909,0.5022727272727273,0.03863636363636358,0
9b-train10pct-step84,84,440,440,0.18636363636363637,0.8136363636363636,0.7544445849235504,0.5272727272727272,0.5272727272727272,0.0,0
9b-train10pct-step96,96,440,440,0.17045454545454544,0.8295454545454546,0.7533489950986697,0.5227272727272727,0.525,-0.002272727272727315,0
9b-train10pct-step108,108,440,440,0.22045454545454546,0.7795454545454545,0.7160875750094509,0.5159090909090909,0.5272727272727272,-0.011363636363636354,0
9b-train10pct-step120,120,440,440,0.19090909090909092,0.8090909090909091,0.760461247135104,0.525,0.47954545454545455,0.04545454545454547,0
