cell,prompt_style,thinking_mode,n_pairs,accuracy_half_tie,accuracy_parse_ok,tie_rate,failure_rate,pick_a_rate,a_rate_half_tie,pair_source,run_root
judge-9b-graded-step52,full,off,880,0.7551136363636364,0.7802746566791511,0.08977272727272727,0.0,0.5118601747815231,0.5107954545454545,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
judge-4b-graded-step52,full,off,880,0.6869318181818181,0.7033374536464772,0.08068181818181819,0.0,0.688504326328801,0.6732954545454546,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
gemma4-31b,full,off,880,0.5818181818181818,0.5942408376963351,0.1318181818181818,0.0,0.7735602094240838,0.7375,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
judge-4b-directional-step52,full,off,880,0.5647727272727273,0.5879629629629629,0.2636363636363636,0.0,0.9429012345679012,0.8261363636363637,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
gemma4-12b,full,off,880,0.5255681818181818,0.5412844036697247,0.3806818181818182,0.0,0.7357798165137615,0.6460227272727272,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
qwen35-27b,full,off,880,0.5232954545454546,0.5280437756497948,0.1693181818181818,0.0,0.6689466484268126,0.6403409090909091,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
judge-9b-directional-step52,full,off,880,0.5,,1.0,0.0,,0.5,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
qwen35-4b,full,off,880,0.45625,0.45006485084306097,0.12386363636363637,0.0,0.5836575875486382,0.5732954545454545,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
qwen35-9b,full,off,880,0.44772727272727275,0.4385026737967914,0.15,0.0,0.5748663101604278,0.5636363636363636,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-19-judge-only-rlvr-thinking-off-eval/raw/sweep
judge-9b-graded-step52,full,on,880,0.7329545454545454,0.740395809080326,0.020454545454545454,0.003409090909090909,0.4481955762514552,0.4492588369441277,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-17-judge-9b-eval/raw/sweep
judge-4b-graded-step52,full,on,880,0.7011363636363637,0.7025171624713958,0.006818181818181818,0.0,0.602974828375286,0.6022727272727273,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-14-judge-4b-eval-v2/raw/sweep
judge-4b-directional-step52,full,on,880,0.6181818181818182,0.6368421052631579,0.13636363636363635,0.0,0.6815789473684211,0.6568181818181819,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-14-judge-4b-eval-v2/raw/sweep
qwen35-27b,full,on,880,0.5954545454545455,0.6019184652278178,0.05,0.0022727272727272726,0.6151079136690647,0.6093394077448747,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/9b-full5ep-step0/sweep
gemma4-31b,full,on,880,0.5926136363636364,0.6014943960149439,0.0875,0.0,0.6500622665006227,0.6369318181818182,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/9b-full5ep-step0/sweep
gemma4-12b,full,on,880,0.5420454545454545,0.5513888888888889,0.18181818181818182,0.0,0.6236111111111111,0.6011363636363637,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/9b-full5ep-step0/sweep
qwen35-9b,full,on,880,0.5113636363636364,0.5177725118483413,0.029545454545454545,0.011363636363636364,0.6149289099526066,0.6114942528735632,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/9b-full5ep-step0/sweep
qwen35-4b,full,on,880,0.5005681818181819,0.5005889281507656,0.035227272727272725,0.0,0.6442873969375736,0.6392045454545454,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/9b-full5ep-step0/sweep
judge-9b-directional-step52,full,on,879,0.3441410693970421,0.6551724137931034,0.6018202502844141,0.3321956769055745,0.1896551724137931,0.469335604770017,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-17-judge-9b-eval/raw/sweep
judge-9b-ce-st,single_token,off,880,0.8022727272727272,0.8022727272727272,0.0,0.0,0.5113636363636364,0.5113636363636364,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-26-single-token-judge-thinking-off/raw/sweep
judge-gemma12b-ce-st,single_token,off,880,0.8011363636363636,0.8011363636363636,0.0,0.0,0.5011363636363636,0.5011363636363636,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-09-01-gemma-single-token-judge-eval-thinking-off/raw/sweep
judge-4b-ce-st,single_token,off,880,0.7875,0.7875,0.0,0.0,0.5079545454545454,0.5079545454545454,/home/lancewicki/projects/turing-rl/results/2026-08-10-test-eval-9b-full5ep-full-schema/raw/pairs/gen_9b-full5ep-step0_880.parquet,/home/lancewicki/projects/turing-rl/results/2026-08-26-single-token-judge-thinking-off/raw/sweep
